tic_id,refined_classification,confidence,priority,period_days,amplitude,temperature_K,radius_solar,evidence
149951723,red_giant_variable_candidate,0.5,low,,0.0517838867652918,4269.0,42.9515,cool giant stellar parameters
49503072,unclassified_variable_candidate,0.5,low,,0.2956368320712953,6629.0,1.66675,high photometric amplitude
376787680,unclassified_variable_candidate,0.42,low,,0.1183522859950925,,,high photometric amplitude
380668425,unclassified_variable_candidate,0.42,low,,0.1838622242967773,,,high photometric amplitude
149969713,unclassified_variable_candidate,0.42,low,,0.1547854104476536,,,high photometric amplitude
380165622,transient_or_artifact_candidate,0.4,low,,0.016905093004616,,,transient morphology classification
325314611,transient_or_artifact_candidate,0.4,low,,0.008478997554025,,,transient morphology classification
173107765,transient_or_artifact_candidate,0.4,low,,0.0071374016552206,,,transient morphology classification
173164452,unclassified_variable_candidate,0.4,low,,0.0109072002101229,,,
397013579,red_giant_variable_candidate,0.72,medium,,0.1534403470896848,4795.0,13.2206,cool giant stellar parameters; high photometric amplitude
